name,test,d-sep,i-sep,saving,dSepTime,iSepTime
Munin,"I(L_LNLC8_ADM_MUSIZE,L_ULND5_SALOSS,R_DELT_EFFMUS)",21,1,4.76,0.01681804656982422,0.027519941329956055
Munin,"I(R_OTHER_ADM_MUSIZE,L_DELT_MVA_AMP,R_LNL_DIFFN_ADM_MALOSS)",19,1,5.26,0.021842002868652344,0.0219728946685791
Munin,"I(R_OTHER_ADM_MUDENS,L_DELT_NMT,L_LNLT1_LP_BE_APB_DENERV)",5,1,20.00,0.01098012924194336,0.013282060623168945
Munin,"I(L_DIFFN_LNLW_APB_MUSIZE,R_ULND5_LSLOW_WD,L_LNLW_MEDD2_LD_WD)",736,26,3.53,0.2336268424987793,0.09956097602844238
Munin,"I(R_MED_DIFSLOW_EW,R_MUSCLE_APB_DENERV,R_AXIL_RD_ED)",820,110,13.41,0.2504749298095703,0.1283550262451172
Munin,"I(L_APB_MUSCLE_VOL,R_MEDD2_ALLCV_WD,R_MUSCLE_ADM_MUSIZE)",849,132,15.55,0.2899761199951172,0.1865849494934082
Munin,"I(R_DIFFN_LNLW_MEDD2_DISP_WD,L_LNLPC5_DIFFN_DELT_MUDENS,L_DIFFN_LNLW_ULN_BLOCK_WA)",765,60,7.84,0.23836207389831543,0.12973499298095703
Munin,"I(R_ULND5_DISP_BEW,R_LNL_DIFFN_ADM_MALOSS,L_MYOP_ADM_DENERV)",784,60,7.65,0.2447512149810791,0.11247086524963379
Munin,"I(R_MUSCLE_APB_DENERV,L_APB_QUAL_MUPDUR,R_DIFFN_APB_DENERV)",908,211,23.24,0.2977559566497803,0.21408510208129883
Munin,"I(L_LNLT1_APB_MUDENS,R_LNLW_ULN_BLOCK,L_MEDD2_DISP_EW)",6,1,16.67,0.0038950443267822266,0.005709171295166016
Munin,"I(L_LNLE_ULN_SEV,L_MYOP_MYDY_ADM_MUDENS,L_ULND5_AMPR_E)",106,9,8.49,0.03758096694946289,0.022219181060791016
Munin,"I(L_ULND5_ALLAMP_WD,R_LNLPC5_DELT_MALOSS,R_DELT_MULOSS)",794,79,9.95,0.24533700942993164,0.12048006057739258
Munin,"I(R_DIFFN_ISCH_BLOCK,R_APB_SF_JITTER,R_MEDD2_DSLOW_WD)",801,110,13.73,0.2667560577392578,0.15346598625183105
Munin,"I(L_DIFFN_LNLW_ADM_MALOSS,R_LNLBE_APB_MUDENS,L_LNLT1_LP_APB_DE_REGEN)",714,16,2.24,0.2389240264892578,0.06503105163574219
Munin,"I(R_LNLBE_MEDD2_DIFSLOW_WD,L_LNLW_MEDD2_BLOCK_WD,DIFFN_S_SEV_DIST)",5,1,20.00,0.0031740665435791016,0.004233837127685547
Munin,"I(R_MYOP_APB_DENERV,R_ULND5_LSLOW_E,L_DIFFN_ULND5_DISP)",7,1,14.29,0.0060880184173583984,0.008744955062866211
Munin,"I(R_MEDD2_AMPR_EW,L_ADM_MUSCLE_VOL,L_MYOP_ADM_MUDENS)",882,148,16.78,0.3014979362487793,0.19007110595703125
Munin,"I(R_DELT_DENERV,R_DIFFN_MEDD2_BLOCK,L_SUR_EFFAXLOSS)",775,113,14.58,0.2529921531677246,0.14478492736816406
Munin,"I(R_APB_MVA_AMP,L_DIFFN_MEDD2_BLOCK,L_MUSCLE_APB_MUDENS)",800,120,15.00,0.25331783294677734,0.17003607749938965
Munin,"I(R_LNLC8_LP_E_ADM_MALOSS,L_LNLT1_APB_MUSIZE,L_MYDY_ADM_MUSIZE)",129,15,11.63,0.04777693748474121,0.024585962295532227
Munin,"I(L_ULN_RDLDCV_E,L_ULND5_DSLOW_E,R_APB_ALLAMP_WA)",800,122,15.25,0.26378583908081055,0.15039515495300293
Munin,"I(L_LNLT1_APB_MUSIZE,L_LNLW_MEDD2_BLOCK_WD,R_APB_SF_DENSITY)",21,1,4.76,0.008596181869506836,0.011752843856811523
Munin,"I(R_ULND5_ALLCV_EW,L_ULND5_DISP_EED,R_LNLLP_APB_DE_REGEN)",854,101,11.83,0.27179408073425293,0.1261599063873291
Munin,"I(R_MEDD2_ALLAMP_WD,R_MED_BLOCK_WA,L_ULND5_DSLOW_E)",771,85,11.02,0.24684906005859375,0.13388800621032715
Munin,"I(L_LNLPC5_DELT_MUSIZE,R_MED_BLOCK_WA,L_DELT_SPONT_DENERV_ACT)",69,29,42.03,0.029253005981445312,0.04397988319396973
Munin,"I(R_ULN_AMPR_EW,R_DIFFN_APB_NEUR_ACT,L_LNLW_MEDD2_BLOCK_WD)",718,26,3.62,0.22437119483947754,0.07806897163391113
Munin,"I(L_DIFFN_DELT_MALOSS,L_LNLE_ULND5_DISP_E,L_MYOP_APB_DE_REGEN)",709,12,1.69,0.2229619026184082,0.04683399200439453
Munin,"I(L_OTHER_NMT_DELT_DENERV,L_DIFFN_MED_BLOCK,L_LNLC8_LP_ADM_NEUR_ACT)",756,74,9.79,0.2388617992401123,0.1268448829650879
Munin,"I(R_DIFFN_ADM_DE_REGEN,L_APB_DE_REGEN,L_ULND5_DIFSLOW_E)",777,77,9.91,0.2498340606689453,0.12284588813781738
Munin,"I(L_SUR_DSLOW_CA,L_MYOP_DELT_DE_REGEN,L_MYOP_MYDY_ADM_MUSIZE)",722,33,4.57,0.22246193885803223,0.0705878734588623
Munin,"I(L_OTHER_NMT_DELT_DENERV,L_MUSCLE_ADM_DENERV,DIFFN_TYPE)",887,179,20.18,0.2896561622619629,0.1987450122833252
Munin,"I(L_DIFFN_ADM_MUDENS,L_MUSCLE_ADM_MUDENS,R_LNL_DIFFN_ADM_DE_REGEN)",713,17,2.38,0.2297048568725586,0.0808718204498291
Munin,"I(R_MYDY_APB_DE_REGEN,R_DIFFN_ADM_MUSIZE,R_MEDD2_BLOCK_WD)",33,1,3.03,0.015017986297607422,0.008404970169067383
Munin,"I(L_ADM_EFFMUS,L_LNLT1_APB_DE_REGEN,L_ADM_DENERV)",817,135,16.52,0.2643289566040039,0.18902802467346191
Munin,"I(R_MEDD2_CV_WD,R_MYDY_APB_DENERV,R_MED_RDLDCV_EW)",756,57,7.54,0.23861289024353027,0.09366512298583984
Munin,"I(L_ULND5_LD_WD,L_APB_SF_DENSITY,L_APB_MULOSS)",12,4,33.33,0.014152050018310547,0.021836042404174805
Munin,"I(L_APB_REPSTIM_POST_DECR,L_DELT_MALOSS,L_DIFFN_MEDD2_BLOCK)",801,99,12.36,0.26021909713745117,0.15658307075500488
Munin,"I(R_LNLPC5_AXIL_PATHO,L_LNLW_ULND5_SALOSS,L_MEDD2_AMP_WD)",60,3,5.00,0.022344112396240234,0.015294075012207031
Munin,"I(L_ULND5_AMP_WD,L_LNLC8_LP_E_ADM_DE_REGEN,R_LNLPC5_AXIL_SEV)",814,86,10.57,0.26202893257141113,0.11579108238220215
Munin,"I(L_LNLW_ULND5_BLOCK_WD,R_ULND5_ALLAMP_WD,L_LNL_DIFFN_ADM_DENERV)",6,1,16.67,0.013962984085083008,0.019778013229370117
Munin,"I(R_DELT_REPSTIM_POST_DECR,L_ULN_ALLDEL_WA,L_MEDD2_ALLCV_EW)",858,149,17.37,0.2807919979095459,0.19185900688171387
Munin,"I(R_MEDD2_LSLOW_EW,R_MED_DCV_WA,R_DIFFN_LNLW_ULN_BLOCK_WA)",12,9,75.00,0.013370990753173828,0.017651796340942383
Munin,"I(R_MYAS_APB_NMT,L_ULN_ALLCV_EW,L_LNLPC5_DIFFN_DELT_NEUR_ACT)",28,1,3.57,0.019904136657714844,0.01581096649169922
Munin,"I(R_LNLLP_ADM_MUDENS,L_ULN_AMPR_EW,R_MUSCLE_DELT_MUDENS)",6,1,16.67,0.005600929260253906,0.00722503662109375
Munin,"I(R_DELT_MUSCLE_VOL,R_MUSCLE_DELT_MUSIZE,R_LNLLP_APB_MALOSS)",739,42,5.68,0.23002290725708008,0.08695816993713379
Munin,"I(L_ADM_EFFMUS,L_LNLBE_MEDD2_DISP_EW,R_LNLE_ULND5_LD_E)",817,122,14.93,0.26932597160339355,0.16254019737243652
Munin,"I(R_ULND5_CV_EW,L_LNLE_DIFFN_ULND5_DIFSLOW_WD,L_DELT_SF_JITTER)",828,88,10.63,0.2642350196838379,0.13045096397399902
Munin,"I(L_MEDD2_BLOCK_EW,L_ULN_RD_EW,L_MYDY_DELT_DENERV)",712,16,2.25,0.21695709228515625,0.059823036193847656
Munin,"I(R_LNL_DIFFN_APB_DENERV,R_DIFFN_LNLW_APB_MUDENS,R_LNLBE_APB_DENERV)",763,58,7.60,0.23652911186218262,0.10544896125793457
Munin,"I(R_LNLPC5_DELT_MALOSS,L_DELT_MUPAMP,R_ULND5_CV_WD)",69,6,8.70,0.03875112533569336,0.03758096694946289
Munin,"I(L_LNLW_APB_DE_REGEN,R_LNLBE_MED_BLOCK,R_MED_DIFSLOW_EW)",100,8,8.00,0.03569293022155762,0.02002692222595215
Munin,"I(R_DIFFN_APB_MUSIZE,R_LNLW_MED_BLOCK,R_LNLW_APB_DE_REGEN)",710,13,1.83,0.2218761444091797,0.07246112823486328
Munin,"I(L_MEDD2_LSLOW_WD,DIFFN_SENS_SEV,L_ADM_QUAL_MUPPOLY)",108,16,14.81,0.03784799575805664,0.04322314262390137
Munin,"I(R_OTHER_AXIL_BLOCK,L_LNLT1_LP_APB_DENERV,L_LNLLP_ULND5_SALOSS)",8,1,12.50,0.004208087921142578,0.002699136734008789
Munin,"I(L_LNLPC5_DIFFN_DELT_DE_REGEN,R_MYOP_MYDY_ADM_DE_REGEN,L_LNLLP_ADM_MALOSS)",722,23,3.19,0.23151397705078125,0.07494020462036133
Munin,"I(L_MUSCLE_APB_DENERV,R_LNLPC5_DIFFN_DELT_MUDENS,L_LNLLP_ADM_MUSIZE)",806,99,12.28,0.2663888931274414,0.15045595169067383
