name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime
Munin,"I(R_DIFFN_LNLW_ULND5_SALOSS,L_OTHER_ADM_MALOSS,R_LNLC8_LP_ADM_DE_REGEN)",,711,16,2.25,0.22483515739440918,0.058281898498535156
Munin,"I(L_LNLT1_LP_APB_NEUR_ACT,L_MUSCLE_APB_MUDENS,R_AXIL_BLOCK_ED)",,8,4,50.00,0.005529165267944336,0.009909868240356445
Munin,"I(R_DIFFN_LNLW_ADM_MALOSS,R_LNLT1_APB_MUSIZE,L_OTHER_ADM_DENERV)",,714,16,2.24,0.22512602806091309,0.0624699592590332
Munin,"I(L_ADM_QUAL_MUPDUR,L_DIFFN_LNL_ISCH_SALOSS,L_LNLBE_MEDD2_BLOCK_EW)",,835,148,17.72,0.2731649875640869,0.19719600677490234
Munin,"I(R_LNLPC5_DELT_MUSIZE,R_DIFFN_LNLW_ADM_MALOSS,L_MYOP_DELT_MUDENS)",,69,7,10.14,0.028176069259643555,0.016942977905273438
Munin,"I(R_ADM_SPONT_INS_ACT,R_ADM_FORCE,L_APB_MULOSS)",,936,283,30.24,0.33945608139038086,0.26270294189453125
Munin,"I(R_ULND5_DSLOW_EW,L_LNLC8_LP_ADM_MALOSS,R_ADM_MUPDUR)",,773,88,11.38,0.23668384552001953,0.1525881290435791
Munin,"I(L_MED_ALLCV_EW,L_DELT_REPSTIM_POST_DECR,L_MYAS_APB_MUDENS)",,835,130,15.57,0.25924086570739746,0.16733098030090332
Munin,"I(R_APB_SPONT_DENERV_ACT,R_LNLLP_APB_DE_REGEN,R_OTHER_ADM_MUDENS)",,797,106,13.30,0.24431395530700684,0.13906097412109375
Munin,"I(L_DIFFN_ISCH_DIFSLOW,L_ADM_NEUR_ACT,L_MYOP_DELT_MUSIZE)",,822,60,7.30,0.23677706718444824,0.11452484130859375
Munin,"I(L_ULN_ALLCV_E,L_LNLW_ULN_BLOCK,R_OTHER_DELT_NEUR_ACT)",,773,64,8.28,0.23583102226257324,0.10175919532775879
Munin,"I(R_DIFFN_ADM_MUSIZE,R_OTHER_ULN_BLOCK_WA,L_LNLC8_LP_E_ADM_MUDENS)",,712,13,1.83,0.2107231616973877,0.07323098182678223
Munin,"I(L_LNLLP_APB_NEUR_ACT,L_DELT_SPONT_NEUR_DISCH,L_OTHER_ULND5_BLOCK)",,5,1,20.00,0.007146120071411133,0.006851911544799805
Munin,"I(L_LNLE_ADM_DE_REGEN,R_OTHER_ULND5_BLOCK,R_APB_SF_JITTER)",,123,9,7.32,0.04258394241333008,0.03013896942138672
Munin,"I(R_AXIL_LAT_ED,L_ULND5_RD_WD,R_MYOP_MYDY_ADM_MUDENS)",,747,44,5.89,0.22246098518371582,0.07042789459228516
Munin,"I(R_LNLC8_LP_E_ADM_NEUR_ACT,R_DELT_MALOSS,R_ULND5_LSLOW_E)",,115,14,12.17,0.04517006874084473,0.023617029190063477
Munin,"I(R_ADM_SPONT_INS_ACT,R_LNLW_MEDD2_RD_WD,L_OTHER_NMT_DELT_DENERV)",,816,137,16.79,0.2532820701599121,0.17410802841186523
Munin,"I(R_LNLE_ULND5_DISP_E,L_LNLW_ULND5_RD_WD,R_DIFFN_LNLW_ULN_BLOCK_WA)",,122,8,6.56,0.04134106636047363,0.021507978439331055
Munin,"I(L_DELT_MALOSS,R_MYOP_ADM_MUDENS,L_MYOP_ADM_MUSIZE)",,730,25,3.42,0.21691298484802246,0.06202888488769531
Munin,"I(L_APB_SPONT_DENERV_ACT,L_MYDY_DELT_DE_REGEN,R_MEDD2_LSLOW_EW)",,797,106,13.30,0.24368000030517578,0.14623403549194336
Munin,"I(R_ULN_LD_WA,R_DIFFN_LNLW_ADM_MALOSS,R_LNLW_ULND5_BLOCK_WD)",,4,1,25.00,0.0049130916595458984,0.00492095947265625
Munin,"I(R_APB_VOL_ACT,L_DELT_REPSTIM_DECR,R_SUR_CV_CA)",,3,1,33.33,0.01029205322265625,0.018657922744750977
Munin,"I(L_MED_DIFSLOW_WA,R_DIFFN_AXIL_DIFSLOW,L_ADM_MUPSATEL)",,721,35,4.85,0.21872282028198242,0.09315681457519531
Munin,"I(R_DELT_SPONT_DENERV_ACT,L_LNLW_MEDD2_DISP_WD,R_LNLLP_APB_DENERV)",,772,94,12.18,0.2365739345550537,0.1168208122253418
Munin,"I(R_LNLT1_APB_MALOSS,R_LNLE_ULND5_LD_E,L_DIFFN_MEDD2_SALOSS)",,17,1,5.88,0.00822591781616211,0.005586147308349609
Munin,"I(L_ULND5_SALOSS,R_DIFFN_APB_NEUR_ACT,L_DIFFN_LNLW_ADM_MALOSS)",,804,52,6.47,0.23939895629882812,0.13746905326843262
Munin,"I(R_MYAS_APB_MUDENS,R_ADM_ALLAMP_WA,R_ADM_FORCE)",,4,1,25.00,0.035936832427978516,0.06152200698852539
Munin,"I(R_DIFFN_AXIL_DIFSLOW,L_LNLE_ULND5_LD_E,R_LNLLP_ADM_DENERV)",,709,12,1.69,0.22780799865722656,0.0512700080871582
Munin,"I(L_ULN_RDLDCV_E,L_DIFFN_APB_MALOSS,L_OTHER_ADM_MUDENS)",,125,12,9.60,0.04713797569274902,0.022158145904541016
Munin,"I(R_MEDD2_ALLCV_WD,L_MED_LD_WA,R_LNLE_ADM_NEUR_ACT)",,755,56,7.42,0.23416495323181152,0.10161900520324707
Munin,"I(R_LNLE_DIFFN_ULND5_BLOCK_E,L_OTHER_NMT_ADM_DENERV,R_MEDD2_RD_EW)",,862,127,14.73,0.272874116897583,0.17490100860595703
Munin,"I(L_ADM_MALOSS,R_DIFFN_LNLW_ADM_DENERV,R_LNLC8_LP_E_ADM_MUDENS)",,771,54,7.00,0.2387690544128418,0.1109468936920166
Munin,"I(L_LNLW_ADM_MUSIZE,L_ADM_QUAN_MUPDUR,R_DIFFN_LNLW_ULND5_SALOSS)",,879,179,20.36,0.29290199279785156,0.18239712715148926
Munin,"I(R_ULND5_ALLCV_EW,R_MEDD2_LD_WD,R_NMT_ADM_DENERV)",,775,72,9.29,0.24592804908752441,0.1317758560180664
Munin,"I(L_ADM_SPONT_DENERV_ACT,R_LNLBE_APB_MUSIZE,L_LNLLP_ADM_NEUR_ACT)",,816,120,14.71,0.26235485076904297,0.15833115577697754
Munin,"I(R_MYAS_DE_REGEN_ADM_NMT,R_LNLLP_ADM_MUDENS,L_LNLBE_APB_MALOSS)",,771,56,7.26,0.24862909317016602,0.12049698829650879
Munin,"I(L_DIFFN_LNLW_ADM_NEUR_ACT,L_MED_LD_WA,R_ULND5_DISP_EED)",,687,27,3.93,0.22957992553710938,0.08131098747253418
Munin,"I(R_ULN_DCV_E,R_DELT_MUPDUR,R_MYAS_OTHER_ADM_MUDENS)",,876,167,19.06,0.4049069881439209,0.23015809059143066
Munin,"I(L_LNLT1_LP_BE_APB_MUDENS,R_ULND5_DSLOW_E,R_DIFFN_ULN_BLOCK)",,12,8,66.67,0.017726898193359375,0.020312070846557617
Munin,"I(R_ULND5_AMPR_EW,L_ADM_DE_REGEN,L_MYDY_ADM_MUSIZE)",,807,102,12.64,0.2582230567932129,0.15148401260375977
Munin,"I(R_LNLE_DIFFN_ULND5_DIFSLOW_E,L_LNLBE_APB_MALOSS,L_MED_CV_EW)",,737,34,4.61,0.22205305099487305,0.09218502044677734
Munin,"I(R_ULND5_CV_EW,L_DELT_MUPSATEL,L_OTHER_ADM_DE_REGEN)",,832,105,12.62,0.25574302673339844,0.14600396156311035
Munin,"I(R_ULN_DCV_WA,R_MUSCLE_ADM_MUSIZE,L_APB_SPONT_INS_ACT)",,779,77,9.88,0.23137402534484863,0.13170409202575684
Munin,"I(L_DIFFN_LNLW_ADM_MUSIZE,R_LNLC8_ADM_NEUR_ACT,L_ADM_QUAL_MUPPOLY)",,717,48,6.69,0.21277403831481934,0.11461901664733887
Munin,"I(L_LNLW_ADM_MALOSS,R_SUR_DIFSLOW_CA,L_LNLE_ULND5_BLOCK_E)",,20,1,5.00,0.011505126953125,0.0056989192962646484
Munin,"I(R_DELT_MVA_AMP,L_DIFFN_ULND5_SALOSS,L_LNLE_ULND5_LD_E)",,779,109,13.99,0.23935699462890625,0.14470791816711426
Munin,"I(L_DE_REGEN_APB_NMT,R_LNLBE_MEDD2_BLOCK_EW,R_LNL_ISCH_PATHO)",,756,47,6.22,0.24309492111206055,0.10506606101989746
Munin,"I(R_APB_DE_REGEN,R_APB_QUAN_MUPPOLY,L_MYDY_DELT_MUDENS)",,829,146,17.61,0.27467894554138184,0.16868996620178223
Munin,"I(L_ADM_TA_CONCL,R_ULND5_ALLCV_EW,R_DIFFN_AXIL_DIFSLOW)",,904,188,20.80,0.28397583961486816,0.22679781913757324
Munin,"I(L_DIFFN_MEDD2_DISP,L_APB_QUAN_MUPAMP,R_SUR_ALLAMP_CA)",,843,168,19.93,0.2709529399871826,0.19029998779296875
Munin,"I(L_DIFFN_MEDD2_SALOSS,L_LNLT1_APB_MALOSS,L_DELT_QUAL_MUPPOLY)",,705,46,6.52,0.20979619026184082,0.09635686874389648
Munin,"I(L_SUR_LSLOW_CA,R_DIFFN_DELT_MALOSS,R_LNLW_APB_DENERV)",,7,4,57.14,0.005710124969482422,0.008044004440307617
Munin,"I(R_ULN_RDLDCV_E,R_DIFFN_LNLW_APB_MUSIZE,R_DIFFN_LNLW_ADM_DE_REGEN)",,125,12,9.60,0.04714202880859375,0.027543067932128906
Munin,"I(R_LNLLP_APB_DENERV,R_APB_MVA_AMP,L_LNLPC5_DIFFN_DELT_NEUR_ACT)",,8,1,12.50,0.0213010311126709,0.0241849422454834
Munin,"I(L_SUR_DSLOW_CA,L_APB_ALLAMP_WA,DIFFN_DUMMY_2)",,876,211,24.09,0.30106282234191895,0.21615290641784668
Munin,"I(R_ULND5_DISP_BED,R_DIFFN_LNLW_MEDD2_DISP_WD,L_MED_BLOCK_WA)",,767,55,7.17,0.22812795639038086,0.09707903861999512
Munin,"I(L_LNLW_APB_DENERV,L_LNLC8_ADM_MALOSS,R_ULND5_DSLOW_EW)",,101,8,7.92,0.03465700149536133,0.02718496322631836
Munin,"I(L_ADM_SF_JITTER,R_DIFFN_LNLW_ULND5_SALOSS,L_ULN_RDLDCV_E)",,789,92,11.66,0.24448513984680176,0.15061497688293457
Munin,"I(L_OTHER_ADM_NMT,L_ADM_MALOSS,L_MUSCLE_DELT_MUDENS)",,29,1,3.45,0.018574953079223633,0.012117862701416016
Munin,"I(L_MYOP_MYDY_ADM_MUDENS,R_OTHER_ADM_NMT,R_DELT_SPONT_NEUR_DISCH)",,8,4,50.00,0.0038199424743652344,0.009628057479858398
Munin,"I(R_DELT_NMT,L_MYOP_MYDY_ADM_MUDENS,R_LNLW_ULND5_DISP_WD)",,750,59,7.87,0.22661304473876953,0.09885191917419434
Munin,"I(R_MYOP_ADM_DENERV,R_APB_REPSTIM_POST_DECR,L_LNLT1_LP_BE_APB_MALOSS)",,7,1,14.29,0.012454986572265625,0.013077974319458008
Munin,"I(R_LNLC8_LP_ADM_MUSIZE,R_SUR_LSLOW_CA,L_DELT_REPSTIM_CMAPAMP)",,24,4,16.67,0.010166168212890625,0.029469966888427734
Munin,"I(R_MYDY_ADM_MUDENS,R_LNLW_ULND5_SALOSS,L_LNLE_ULND5_RD_E)",,5,1,20.00,0.002424001693725586,0.0024127960205078125
Munin,"I(L_DELT_MUDENS,R_LNLE_ADM_MUDENS,L_MED_CV_EW)",,736,51,6.93,0.22455811500549316,0.10879087448120117
Munin,"I(L_DIFFN_ULND5_DIFSLOW,DIFFN_DUMMY_1,L_LNLPC5_DIFFN_DELT_NEUR_ACT)",,717,26,3.63,0.21828198432922363,0.08409786224365234
Munin,"I(R_DE_REGEN_DELT_NMT,L_LNLPC5_AXIL_PATHO,L_APB_MUSIZE)",,736,46,6.25,0.22476601600646973,0.10146784782409668
Munin,"I(R_LNLW_ADM_MALOSS,R_LNLBE_APB_MUDENS,R_LNL_DIFFN_APB_MUDENS)",,20,1,5.00,0.007868051528930664,0.008659124374389648
Munin,"I(R_LNLE_ULND5_SALOSS,L_DIFFN_APB_MUSIZE,R_DIFFN_DELT_MUDENS)",,121,8,6.61,0.043804168701171875,0.02351093292236328
Munin,"I(R_DELT_REPSTIM_DECR,R_DELT_MVA_AMP,R_MYDY_DELT_MUSIZE)",,808,129,15.97,0.25838589668273926,0.1500380039215088
Munin,"I(L_LNLW_APB_NEUR_ACT,R_APB_MULOSS,R_LNLPC5_AXIL_SEV)",,97,4,4.12,0.042136192321777344,0.018623828887939453
Munin,"I(R_DIFFN_DELT_DE_REGEN,L_LNLE_DIFFN_ULND5_DIFSLOW_E,R_LNLW_MEDD2_RD_WD)",,763,37,4.85,0.22928905487060547,0.09636211395263672
Munin,"I(L_DELT_MALOSS,L_LNLPC5_DELT_MALOSS,R_ULN_BLOCK_EW)",,719,26,3.62,0.21139287948608398,0.06816792488098145
Munin,"I(L_DIFFN_LNLW_APB_NEUR_ACT,L_DELT_EFFMUS,L_MEDD2_BLOCK_WD)",,787,128,16.26,0.25887489318847656,0.16524100303649902
Munin,"I(L_LNLBE_MEDD2_SALOSS_EW,R_LNLPC5_DELT_DE_REGEN,L_LNLT1_APB_DENERV)",,11,1,9.09,0.005648136138916016,0.0033369064331054688
Munin,"I(R_DIFFN_LNLW_MEDD2_DISP_WD,R_LNLC8_LP_ADM_MALOSS,R_APB_TA_CONCL)",,732,58,7.92,0.22317218780517578,0.11995792388916016
Munin,"I(R_MYDY_APB_MUDENS,R_APB_SPONT_INS_ACT,R_AXIL_AMP_E)",,5,1,20.00,0.020949125289916992,0.04227495193481445
Munin,"I(L_ADM_QUAL_MUPPOLY,R_APB_MVA_RECRUIT,R_ADM_MVA_RECRUIT)",,894,201,22.48,0.28497886657714844,0.21843600273132324
Munin,"I(L_MYOP_MYDY_ADM_MUDENS,L_LNLBE_MEDD2_BLOCK_EW,R_MEDD2_CV_WD)",,8,4,50.00,0.0039520263671875,0.016228914260864258
Munin,"I(L_APB_QUAN_MUPAMP,R_ULND5_DISP_BEW,R_ULND5_RD_WD)",,816,129,15.81,0.252288818359375,0.17382287979125977
Munin,"I(L_DELT_MUPAMP,L_LNLPC5_DELT_MUSIZE,L_MYDY_APB_MUDENS)",,786,102,12.98,0.2340409755706787,0.1222071647644043
Munin,"I(L_LNLW_MEDD2_DISP_WD,L_LNL_DIFFN_APB_MUSIZE,L_LNLC8_LP_ADM_MALOSS)",,784,57,7.27,0.2353229522705078,0.10083413124084473
Munin,"I(L_LNLW_APB_MUSIZE,R_DELT_QUAN_MUPPOLY,DIFFN_DUMMY_2)",,98,8,8.16,0.056921958923339844,0.04373311996459961
Munin,"I(R_LNLW_MEDD2_LD_WD,R_OTHER_ADM_NEUR_ACT,R_LNLBE_APB_MUSIZE)",,102,9,8.82,0.03450202941894531,0.017207860946655273
Munin,"I(R_MED_LAT_WA,R_DIFFN_ISCH_DISP,L_LNLE_ADM_NEUR_ACT)",,773,70,9.06,0.2343590259552002,0.12243413925170898
Munin,"I(L_LNLLP_ADM_DENERV,R_SUR_BLOCK_CA,L_MEDD2_RD_WD)",,8,1,12.50,0.006306886672973633,0.005616903305053711
Munin,"I(R_ULND5_AMPR_EW,L_AXIL_DCV,R_DELT_DE_REGEN)",,775,88,11.35,0.23731088638305664,0.11621904373168945
Munin,"I(L_ULN_DIFSLOW_WA,R_LNLW_MED_BLOCK,L_DIFFN_APB_MUDENS)",,739,25,3.38,0.22290706634521484,0.0784001350402832
Munin,"I(R_LNLT1_APB_NEUR_ACT,L_MYDY_APB_DE_REGEN,R_DIFFN_LNLW_APB_MALOSS)",,5,1,20.00,0.0025060176849365234,0.0056340694427490234
Munin,"I(L_APB_MUSIZE,R_MYOP_MYDY_APB_DE_REGEN,R_MEDD2_EFFAXLOSS)",,753,54,7.17,0.2288510799407959,0.12078690528869629
Munin,"I(L_ULND5_EFFAXLOSS,R_APB_QUAL_MUPAMP,R_OTHER_DELT_MUDENS)",,914,190,20.79,0.29064106941223145,0.21667695045471191
Munin,"I(L_ADM_DENERV,R_OTHER_ULND5_RD,R_MYOP_MYDY_APB_DENERV)",,815,119,14.60,0.26639389991760254,0.14909100532531738
Munin,"I(R_OTHER_ULND5_RD,L_LNLE_ULN_PATHO,L_ADM_SF_DENSITY)",,9,1,11.11,0.003813028335571289,0.011977910995483398
Munin,"I(L_ADM_NMT,R_LNL_DIFFN_ADM_MUDENS,L_LNLLP_APB_MUDENS)",,856,117,13.67,0.2646298408508301,0.15802311897277832
Munin,"I(R_MEDD2_DIFSLOW_WD,R_APB_MUPDUR,L_MED_DCV_EW)",,841,161,19.14,0.27169108390808105,0.18480610847473145
