name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime
Andes,"I(GOAL_48,GOAL_109,SNode_12)",,433,334,77.14,0.06099200248718262,0.07132697105407715
Andes,"I(GOAL68,TRY12,AXIS33)",,26,1,3.85,0.0026710033416748047,0.0009450912475585938
Andes,"I(SNode_20,SNode_67,SNode_59)",,75,4,5.33,0.013329029083251953,0.011363983154296875
Andes,"I(RApp7,KINEMATI17,SNode_21)",,371,263,70.89,0.03474092483520508,0.058467864990234375
Andes,"I(GOAL_104,VECTOR44,RESOLVE37)",,339,230,67.85,0.033711910247802734,0.0614171028137207
Andes,"I(GOAL_109,GOAL_108,FIND49)",,428,327,76.40,0.060389041900634766,0.08271098136901855
Andes,"I(IDENTIFY59,GOAL_66,DEFINE23)",,4,1,25.00,0.007206916809082031,0.007300138473510742
Andes,"I(SNode_68,GRAV78,GOAL_48)",,240,95,39.58,0.021198034286499023,0.025115013122558594
Andes,"I(CONSTANT5,GOAL_98,RApp2)",,385,278,72.21,0.06909298896789551,0.06749200820922852
Andes,"I(SLIDING4,SNode_33,WRITE63)",,72,1,1.39,0.005986928939819336,0.0008790493011474609
Andes,"I(WEIGHT56,NEED1,TRY76)",,67,1,1.49,0.005707979202270508,0.0005521774291992188
Andes,"I(TRY25,SNode_28,SNode_11)",,97,3,3.09,0.011172056198120117,0.0048351287841796875
Andes,"I(RApp5,GOAL_126,GOAL_98)",,443,337,76.07,0.062290191650390625,0.10012292861938477
Andes,"I(GOAL68,SNode_100,IDENTIFY22)",,26,1,3.85,0.037728071212768555,0.0356450080871582
Andes,"I(IDENTIFY22,SNode_95,RApp10)",,8,1,12.50,0.03617095947265625,0.0577700138092041
Andes,"I(GOAL_104,RESOLVE40,GOAL_61)",,339,230,67.85,0.03394007682800293,0.09971189498901367
Andes,"I(SNode_44,GOAL_80,GOAL_87)",,297,178,59.93,0.031861066818237305,0.07619786262512207
Andes,"I(GOAL_111,SNode_134,IDENTIFY10)",,496,379,76.41,0.1004939079284668,0.12598800659179688
Andes,"I(IDENTIFY39,SNode_10,SNode_154)",,105,27,25.71,0.008013010025024414,0.026629209518432617
Andes,"I(GOAL_81,SNode_125,SNode_16)",,451,350,77.61,0.075775146484375,0.10378098487854004
Andes,"I(BUGGY54,GOAL_130,VELOCITY7)",,13,5,38.46,0.023193836212158203,0.023550033569335938
Andes,"I(GOAL_143,VECTOR27,SNode_40)",,400,310,77.50,0.04117107391357422,0.09211492538452148
Andes,"I(GOAL_146,DEFINE23,TRY76)",,401,309,77.06,0.03898000717163086,0.06843209266662598
Andes,"I(SNode_10,GOAL_79,FIND58)",,356,223,62.64,0.05363607406616211,0.046820878982543945
Andes,"I(SNode_43,SNode_122,SNode_118)",,460,350,76.09,0.06263089179992676,0.12147903442382812
Andes,"I(APPLY61,GOAL_108,RApp2)",,407,318,78.13,0.06022787094116211,0.06047391891479492
Andes,"I(SNode_54,RESOLVE42,WRITE30)",,177,37,20.90,0.01462101936340332,0.00914907455444336
Andes,"I(SNode_37,GOAL_143,NEED36)",,476,383,80.46,0.07549214363098145,0.11751699447631836
Andes,"I(GOAL_2,SNode_5,GOAL_48)",,141,2,1.42,0.0109710693359375,0.0008308887481689453
Andes,"I(RApp6,SNode_10,GOAL_50)",,241,96,39.83,0.020366907119750977,0.023812055587768555
Andes,"I(GOAL_143,WRITE64,RESOLVE40)",,402,305,75.87,0.03960895538330078,0.07283687591552734
Andes,"I(GOAL_50,SNode_131,EQUAL71)",,469,357,76.12,0.06496191024780273,0.06634902954101562
Andes,"I(SNode_134,SNode_91,GOAL_150)",,466,412,88.41,0.07262706756591797,0.1340780258178711
Andes,"I(SNode_75,IDENTIFY41,SNode_123)",,234,141,60.26,0.019662857055664062,0.05737900733947754
Andes,"I(GOAL_62,SNode_125,GOAL_114)",,455,359,78.90,0.07292008399963379,0.11173605918884277
Andes,"I(RApp12,SNode_91,DEFINE23)",,477,382,80.08,0.0718071460723877,0.10813784599304199
Andes,"I(SNode_137,SNode_51,SNode_8)",,397,289,72.80,0.03834414482116699,0.07998895645141602
Andes,"I(SNode_55,SNode_44,GOAL_2)",,234,91,38.89,0.022948026657104492,0.018019914627075195
Andes,"I(SNode_54,RApp2,SNode_15)",,177,37,20.90,0.015008926391601562,0.009495019912719727
Andes,"I(SNode_97,GRAV2,SNode_34)",,327,212,64.83,0.0323939323425293,0.0579831600189209
Andes,"I(SNode_60,EQUATION28,SNode_136)",,179,108,60.34,0.015796184539794922,0.0598599910736084
Andes,"I(KINEMATI17,IDENTIFY10,SNode_102)",,135,42,31.11,0.01061105728149414,0.03651785850524902
Andes,"I(GOAL_72,SNode_134,DEFINE23)",,471,370,78.56,0.09992814064025879,0.11811089515686035
Andes,"I(KINE29,VALUE3,GOAL_130)",,99,24,24.24,0.007678031921386719,0.02926182746887207
Andes,"I(GIVEN21,WEIGHT57,RApp7)",,68,12,17.65,0.0065059661865234375,0.023768901824951172
Andes,"I(SNode_44,GOAL_98,WEIGHT57)",,394,277,70.30,0.06914687156677246,0.07090902328491211
Andes,"I(VELOCITY7,GOAL_146,GOAL_56)",,506,407,80.43,0.07138800621032715,0.07596898078918457
Andes,"I(RESOLVE40,GOAL_81,GOAL_104)",,332,238,71.69,0.047065019607543945,0.07907319068908691
Andes,"I(SNode_59,CHOOSE62,SNode_122)",,178,94,52.81,0.01714801788330078,0.09436893463134766
Andes,"I(RApp11,SNode_7,GOAL_98)",,402,320,79.60,0.08225893974304199,0.19344282150268555
Andes,"I(NULL48,GOAL_53,TRY26)",,2,1,50.00,0.002646923065185547,0.003019094467163086
Andes,"I(RApp11,HORIZ53,GOAL_126)",,402,320,79.60,0.04290890693664551,0.11402702331542969
Andes,"I(SNode_24,RApp1,SNode_92)",,83,12,14.46,0.007942914962768555,0.0036110877990722656
Andes,"I(RApp13,SNode_15,SNode_92)",,404,317,78.47,0.03855490684509277,0.11613893508911133
Andes,"I(GOAL_61,SNode_137,GOAL_111)",,457,356,77.90,0.06536698341369629,0.11203813552856445
Andes,"I(RApp9,APPLY61,RApp5)",,370,261,70.54,0.037986040115356445,0.09440016746520996
Andes,"I(EQUATION28,SNode_42,SNode_88)",,103,13,12.62,0.008652210235595703,0.038877010345458984
Andes,"I(SNode_55,SNode_116,SNode_115)",,475,373,78.53,0.07541608810424805,0.1183021068572998
Andes,"I(APPLY32,GOAL_110,GOAL_111)",,438,339,77.40,0.06232810020446777,0.08469510078430176
Andes,"I(GOAL_130,SNode_95,SNode_136)",,440,343,77.95,0.08010411262512207,0.10496282577514648
