name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime,
Water,"I(CBODN_12_30,CBODD_12_30,CKND_12_30)",3,63,50,79.37,0.000763178,0.006158829,
Water,"I(CNOD_12_00,CNON_12_30,CKND_12_30)",2,51,32,62.75,0.00058794,0.006167173,
Water,"I(CKND_12_30,CBODD_12_45,CKNI_12_00)",2,90,73,81.11,0.001136065,0.006275892,
Water,"I(CKND_12_45,CKNI_12_45,CKNN_12_30)",5,53,31,58.49,0.000473022,0.00593996,
Water,"I(CBODD_12_15,CKND_12_30,CNON_12_45)",3,61,53,86.89,0.000584841,0.005656958,
Water,"I(CBODD_12_45,CKNN_12_15,CNON_12_45)",3,67,58,86.57,0.000678062,0.005475044,
Water,"I(CNOD_12_45,C_NI_12_45,CNON_12_45)",3,72,63,87.5,0.000727177,0.005474806,
Water,"I(CNOD_12_30,CNOD_12_00,CKNN_12_45)",2,54,34,62.96,0.000467062,0.005770922,
Water,"I(C_NI_12_45,CBODD_12_00,CNOD_12_30)",3,22,10,45.45,0.000201941,0.005864859,
Water,"I(CKNN_12_00,CBODN_12_15,CKNI_12_15)",5,21,1,4.76,0.00020504,0.005810976,
Water,"I(CKNI_12_15,CNOD_12_30,CNON_12_15)",3,70,34,48.57,0.000649929,0.006290913,
Water,"I(C_NI_12_15,CBODD_12_30,CKND_12_15)",2,53,37,69.81,0.000655174,0.006176949,
Water,"I(CKND_12_00,CBODN_12_30,CNON_12_45)",2,12,7,58.33,0.000252962,0.005513906,
Water,"I(C_NI_12_15,CNOD_12_00,C_NI_12_00)",6,17,5,29.41,0.000173092,0.005884886,
Water,"I(CNOD_12_00,CBODN_12_30,CBODN_12_00)",3,62,31,50,0.000917912,0.008478165,
Water,"I(CKNN_12_00,CKNN_12_30,CNOD_12_45)",2,34,24,70.59,0.000443935,0.005640984,
Water,"I(CKNI_12_30,CNON_12_45,CKNI_12_00)",2,78,64,82.05,0.001100063,0.006233931,
Water,"I(C_NI_12_15,CKNN_12_30,CKND_12_30)",6,17,5,29.41,0.000217199,0.005833864,
Water,"I(CBODD_12_00,CNOD_12_15,CKND_12_00)",5,27,6,22.22,0.000240803,0.005926132,
Water,"I(CNON_12_15,CNOD_12_15,CKNI_12_15)",4,37,11,29.73,0.000351191,0.005877018,
Water,"I(CNON_12_30,CNON_12_00,CKND_12_45)",2,49,31,63.27,0.000421047,0.005897999,
Water,"I(CNOD_12_15,CKNI_12_30,CNOD_12_30)",3,22,9,40.91,0.000236034,0.005779028,
Water,"I(CBODD_12_30,CNON_12_15,CKNI_12_30)",4,59,35,59.32,0.000576019,0.006070137,
Water,"I(CBODD_12_15,CBODD_12_45,CKND_12_30)",2,78,64,82.05,0.001148939,0.006280184,
Water,"I(CNOD_12_45,CKNN_12_15,CKNI_12_45)",2,69,49,71.01,0.000643015,0.005772114,
Water,"I(CBODD_12_15,CBODN_12_30,CKND_12_45)",2,59,45,76.27,0.000604868,0.006080151,
Water,"I(CBODD_12_15,CKNN_12_45,CNON_12_15)",3,68,40,58.82,0.000679016,0.006058931,
Water,"I(C_NI_12_30,C_NI_12_00,CNOD_12_30)",3,12,6,50,0.000111103,0.00570488,
Water,"I(CKND_12_15,CBODD_12_30,C_NI_12_00)",2,74,45,60.81,0.000731945,0.006267071,
Water,"I(CBODD_12_15,CBODD_12_00,CNON_12_00)",5,44,14,31.82,0.000357151,0.00592494,
Water,"I(CNOD_12_45,CKND_12_15,CKNN_12_30)",2,68,56,82.35,0.000705004,0.005799055,
Water,"I(CNOD_12_00,CKND_12_45,CKNI_12_00)",5,17,1,5.88,0.000277042,0.005733967,
Water,"I(C_NI_12_30,CNOD_12_45,CBODN_12_15)",2,86,67,77.91,0.001116037,0.006181002,
Water,"I(CKNI_12_30,CKNN_12_15,CBODN_12_45)",2,27,14,51.85,0.000366926,0.005608082,
Water,"I(C_NI_12_45,CNON_12_15,CKND_12_15)",4,22,8,36.36,0.00029707,0.006501913,
Water,"I(CBODN_12_15,CNOD_12_45,CKND_12_30)",2,78,67,85.9,0.001112938,0.006165028,
Water,"I(CNON_12_45,CKNN_12_15,CNOD_12_15)",2,72,59,81.94,0.000645161,0.005874872,
Water,"I(CBODN_12_45,CKNI_12_15,CBODD_12_00)",2,66,49,74.24,0.00061202,0.005708933,
Water,"I(CKND_12_00,CBODD_12_45,CNON_12_00)",2,12,1,8.33,0.000449181,0.005484819,
Water,"I(CNOD_12_15,CNON_12_30,CBODD_12_30)",3,50,32,64,0.000602007,0.00602603,
Water,"I(CKNI_12_15,CBODD_12_30,CNOD_12_30)",3,56,36,64.29,0.000657797,0.006386995,
Water,"I(CNOD_12_15,C_NI_12_45,CBODN_12_15)",4,22,7,31.82,0.000243187,0.005868912,
Water,"I(CBODN_12_45,CKNI_12_00,CNON_12_00)",2,66,49,74.24,0.000633955,0.005726099,
Water,"I(CNON_12_30,CNOD_12_30,CKND_12_30)",3,64,50,78.13,0.000725031,0.006044149,
Water,"I(CBODN_12_45,CNON_12_00,CKNN_12_30)",2,69,54,78.26,0.000626087,0.005620956,
Water,"I(CKND_12_00,CKNN_12_00,CKNN_12_15)",5,12,2,16.67,0.000156879,0.005947113,
Water,"I(C_NI_12_45,CBODN_12_30,CNOD_12_00)",3,70,33,47.14,0.000669003,0.006159067,
